ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_depth,helo,mailfrom,rcptto,date,from,to,in_reply_to,subject,x_originating_ip,first_received,second_received,last_reply,path,user_agent,tls,fuids,is_webmail
1331904023.280000,C7RABl3UJbvqQ7EXne,192.168.202.110,47706,192.168.27.202,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.260000,Cee1w82303cgpW3OK,192.168.202.110,48561,192.168.27.202,25,1,168.27.202,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.310000,Cf0pJ82zwp5iuG9Adi,192.168.202.110,48564,192.168.27.202,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.560000,CyJ5G81FWVnfO2GD44,192.168.202.110,48584,192.168.27.202,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.560000,CH1jmC35w12KDELyXf,192.168.202.110,48583,192.168.27.202,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.570000,CdTwjlsWz1sc65Ti,192.168.202.110,48585,192.168.27.202,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.580000,CRRN191opsFN9CjXAd,192.168.202.110,48590,192.168.27.202,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.202,192.168.202.110",,(empty),F
1331904040.590000,CzykuZ2Omxkrf9RYhf,192.168.202.110,48593,192.168.27.202,25,1,example.com,,,,,,,,,,,,,503 5.5.1 Error: authentication not enabled,"192.168.27.202,192.168.202.110",,(empty),F
1331904068.170000,Cq7MLl4Hvv92gw5qD6,192.168.202.110,50444,192.168.27.202,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.202,192.168.202.110",,(empty),F
1331904068.210000,CcAY2ZW7Oi1reGxTk,192.168.202.110,50449,192.168.27.202,25,1,,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.202,192.168.202.110",,(empty),F
1331904075.790000,CzihSadgkF0SFjm82,192.168.202.110,60576,192.168.27.203,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.203,192.168.202.110",,(empty),F
1331904096.970000,C3E28O2qMrOCazXmGb,192.168.202.110,34514,192.168.27.203,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.203,192.168.202.110",,(empty),F
1331904099.080000,C8Ej7j33yA7haaS8fh,192.168.202.110,34824,192.168.27.203,25,1,168.27.203,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.27.203,192.168.202.110",,(empty),F
1331904099.180000,CPnEw8TMFezjcglX1,192.168.202.110,34830,192.168.27.203,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.203,192.168.202.110",,(empty),F
1331904099.210000,CnHQjH347tPp1B0Qj1,192.168.202.110,34833,192.168.27.203,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.27.203,192.168.202.110",,(empty),F
1331904099.230000,CZi4Ms40XgAETYh2lc,192.168.202.110,34838,192.168.27.203,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.203,192.168.202.110",,(empty),F
1331904099.230000,CT2T2OoOWNsQIRzg5,192.168.202.110,34834,192.168.27.203,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.27.203,192.168.202.110",,(empty),F
1331904100.410000,CgzzUh3Wvi8an9rJQh,192.168.202.110,34995,192.168.27.203,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.203,192.168.202.110",,(empty),F
1331904100.720000,CLYrvqnrWF1R1giw,192.168.202.110,35038,192.168.27.203,25,1,example.com,,,,,,,,,,,,,503 5.5.1 Error: authentication not enabled,"192.168.27.203,192.168.202.110",,(empty),F
1331904132.070000,C4uVIA28TUQK4bhTLk,192.168.202.110,41189,192.168.27.203,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.203,192.168.202.110",,(empty),F
1331904132.100000,C0D3K3Rq9BUDgqRx1,192.168.202.110,41195,192.168.27.203,25,1,,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.203,192.168.202.110",,(empty),F
1331906431.170000,CYilEQ2nPOjksEYjoh,192.168.204.45,36065,192.168.21.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.202,192.168.204.45",,(empty),F
1331906440.760000,C3dk8c20HqPuyhvnS9,192.168.204.45,35540,192.168.25.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.203,192.168.204.45",,(empty),F
1331906458.480000,CVfixb3dmMMMx2SBIl,192.168.204.45,48375,192.168.22.203,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.203,192.168.204.45",,(empty),F
1331906470.680000,Cw9KnS2hARmw3DOxdd,192.168.204.45,40252,192.168.22.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.102,192.168.204.45",,(empty),F
1331906471.030000,CbOzz82s1dtqOWe8D9,192.168.204.45,36605,192.168.21.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.202,192.168.204.45",,(empty),F
1331906505.390000,CCT3MC27Wd8SCqtAZb,192.168.204.45,40851,192.168.22.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.102,192.168.204.45",,(empty),F
1331906523.800000,CnKphC13B417WvVGX7,192.168.204.45,37256,192.168.25.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.202,192.168.204.45",,(empty),F
1331906523.890000,CClo8zFfMok0G3fzc,192.168.204.45,46964,192.168.21.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.102,192.168.204.45",,(empty),F
1331906529.650000,CNBsp44UNsyy3BlOLi,192.168.204.45,59148,192.168.21.203,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.203,192.168.204.45",,(empty),F
1331906530.570000,Cisohe1uxuu079PZ96,192.168.204.45,37398,192.168.25.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.202,192.168.204.45",,(empty),F
1331906533.280000,CmHWWvG8xJkbdGiqc,192.168.204.45,49254,192.168.22.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.203,192.168.204.45",,(empty),F
1331906534.610000,Ctp5xQ1yYYjIErE3g8,192.168.204.45,59190,192.168.24.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.24.202,192.168.204.45",,(empty),F
1331906535.430000,CMfPFc3cSRhOhUwiX2,192.168.204.45,36668,192.168.25.203,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.203,192.168.204.45",,(empty),F
1331906537.970000,CJCAd31TSCFOqUyYh5,192.168.204.45,47287,192.168.21.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.102,192.168.204.45",,(empty),F
1331906548.230000,C93tdbaJpMWFbDnsb,192.168.204.45,54684,192.168.22.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.202,192.168.204.45",,(empty),F
1331906551.660000,CooLqh4E3rl2dVssmk,192.168.204.45,59338,192.168.24.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.24.202,192.168.204.45",,(empty),F
1331906553.370000,CsN2OWf9oHfZlOyJ4,192.168.204.45,54752,192.168.22.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.202,192.168.204.45",,(empty),F
1331906953.410000,CyQOhE13DXUjxfHzO7,192.168.204.45,47502,192.168.28.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.202,192.168.204.45",,(empty),F
1331906953.630000,Cxu58u17GOPGtY3UG5,192.168.204.45,58551,192.168.28.203,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.203,192.168.204.45",,(empty),F
1331906954.070000,C8nv5G4ayJ1Bzlm2Ql,192.168.204.45,58581,192.168.28.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.203,192.168.204.45",,(empty),F
1331906954.210000,CD95K13yBaFSdCJn6e,192.168.204.45,49171,192.168.28.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.204.45",,(empty),F
1331906956.270000,CPZjQ74eObcM2YGTfj,192.168.204.45,47652,192.168.28.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.202,192.168.204.45",,(empty),F
1331906957.880000,CkmUlk3FByhwqqJ4ke,192.168.204.45,49322,192.168.28.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.204.45",,(empty),F
1331907800.490000,C7RTc86g00I8Ebtck,192.168.202.96,38633,192.168.25.102,25,1,(empty),,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.25.102,192.168.202.96",,(empty),F
1331907904.540000,CCBMMx2zPkyONMmNN8,192.168.203.61,48301,192.168.22.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.203,192.168.203.61",,(empty),F
1331908498.200000,CnSN823x1bgLTr8lh8,192.168.202.110,55021,192.168.22.102,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.22.102,192.168.202.110",,(empty),F
1331908504.220000,CEVnGQ3BENksRIKZwc,192.168.202.110,55201,192.168.22.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.540000,CL2WUSmN1Mpp5ZE6,192.168.202.110,55265,192.168.22.102,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.580000,C2CFTe1g85XjDUeUxb,192.168.202.110,55267,192.168.22.102,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.470000,C10LGY2RW0bfM9MVcl,192.168.202.110,55260,192.168.22.102,25,1,168.22.102,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.610000,C5uYDJ3Wu4vA3NRC6b,192.168.202.110,55274,192.168.22.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.590000,Cique34y1wzIXpvOKb,192.168.202.110,55268,192.168.22.102,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.610000,C8vWBl4Jkbh4NlKFKd,192.168.202.110,55273,192.168.22.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.22.102,192.168.202.110",,(empty),F
1331908506.620000,ChrewB3B5c0tMPf2Ob,192.168.202.110,55276,192.168.22.102,25,1,example.com,,,,,,,,,,,,,503 5.5.1 Error: authentication not enabled,"192.168.22.102,192.168.202.110",,(empty),F
1331908547.680000,Cea0mn1hScIfPFvoy,192.168.202.110,57676,192.168.22.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.22.102,192.168.202.110",,(empty),F
1331908547.700000,CAILmG4oLdeSxvbob4,192.168.202.110,57677,192.168.22.102,25,1,,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.102,192.168.202.110",,(empty),F
1331910091.790000,CvgVQpWAl8iLBuIR7,192.168.202.108,58124,192.168.26.202,25,1,(empty),,,,,,,,,,,,,501 Syntax: EHLO hostname,"192.168.26.202,192.168.202.108",,(empty),F
1331910341.150000,CFdmXS1s3IEIicZIl4,192.168.202.108,49388,192.168.26.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.202,192.168.202.108",,(empty),F
1331910347.160000,Ckb9GVaKTlbLfQaXa,192.168.202.108,46275,192.168.25.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.102,192.168.202.108",,(empty),F
1331910350.140000,CQNIyg2Sh5lXLX6bO4,192.168.202.108,41302,192.168.26.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.102,192.168.202.108",,(empty),F
1331910358.550000,Ct3Yd92VfpW1gCsDG4,192.168.202.108,49811,192.168.26.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.202,192.168.202.108",,(empty),F
1331910365.410000,Ci271Z1HuAnptfWHP2,192.168.202.108,38396,192.168.28.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.202.108",,(empty),F
1331910375.170000,CgQ4Yf5fiBCjH9mS7,192.168.202.108,46918,192.168.25.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.102,192.168.202.108",,(empty),F
1331910391.350000,CvkQJU3HLfQRaqZySc,192.168.202.108,38795,192.168.28.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.202.108",,(empty),F
1331910393.350000,CTKehu3Hrz7kJaKsMl,192.168.202.108,60280,192.168.24.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.24.202,192.168.202.108",,(empty),F
1331910394.050000,CfvjosiY67N9jlPq9,192.168.202.108,60293,192.168.24.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.24.202,192.168.202.108",,(empty),F
1331910400.750000,CwGebC3y9o58muWMff,192.168.202.108,42195,192.168.26.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.102,192.168.202.108",,(empty),F
1331915271.610000,CLV8Ho4077Cw9ui80b,192.168.202.100,38302,192.168.25.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.25.203,192.168.202.100",,(empty),F
1331918882.320000,C6E6kz34pnRiRSV9Sl,192.168.202.110,39652,192.168.229.251,25,1,example.com,,,,,,,,,,,,,250 Exchange.hec.net Hello [192.168.202.110],"192.168.229.251,192.168.202.110",,(empty),F
1331918904.390000,CCGoj43dipL9JZMyga,192.168.202.110,41467,192.168.229.251,25,1,example.com,,,,,,,,,,,,,503 5.5.2 Send hello first.,"192.168.229.251,192.168.202.110",,(empty),F
1331918905.590000,CXnJ9k3i29MfykIOI8,192.168.202.110,41499,192.168.229.251,25,1,168.229.251,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,501 5.5.4 Invalid Address,"192.168.229.251,192.168.202.110",,(empty),F
1331918905.690000,CuZmJ021HzzdQaVnig,192.168.202.110,41503,192.168.229.251,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.110",,(empty),F
1331918905.680000,CwFBZl3HxnFAgCzRy7,192.168.202.110,41502,192.168.229.251,25,1,X,Administrator,Administrator,,,,,,,,,,,504 Need to authenticate first,"192.168.229.251,192.168.202.110",,(empty),F
1331918905.720000,CMerwx2FefGRSRASM7,192.168.202.110,41504,192.168.229.251,25,1,there,,,,,,,,,,,,,535 5.7.3 Authentication unsuccessful.,"192.168.229.251,192.168.202.110",,(empty),F
1331918906.060000,Cfnwi72QmAe50wphU5,192.168.202.110,41507,192.168.229.251,25,1,example.com,,,,,,,,,,,,,"252 2.1.5 Cannot VRFY user, but will take message for <root@hec.net>","192.168.229.251,192.168.202.110",,(empty),F
1331918906.050000,Cy6uLK202qbMIb7T26,192.168.202.110,41506,192.168.229.251,25,1,nessus,,,,,,,,,,,,,250 OK,"192.168.229.251,192.168.202.110",,(empty),F
1331918907.580000,CslTnX1mJLGmf8s1s5,192.168.202.110,41537,192.168.229.251,25,1,,,,,,,,,,,,,,503 5.5.2 Send hello first,"192.168.229.251,192.168.202.110",,(empty),F
1331918908.650000,CSQ11N2pJGIL4uBsd6,192.168.202.110,41641,192.168.229.251,25,1,,,,,,,,,,,,,,214 HELO EHLO STARTTLS RCPT DATA RSET MAIL QUIT HELP AUTH TURN ETRN BDAT VRFY,"192.168.229.251,192.168.202.110",,(empty),F
1331918908.660000,CcHdEn10o2skbdS9ld,192.168.202.110,41643,192.168.229.251,25,1,example.com,,,,,,,,,,,,,503 5.5.2 Send hello first.,"192.168.229.251,192.168.202.110",,(empty),F
1331918908.950000,CYgT2Q3mVc4lOGLmOj,192.168.202.110,41665,192.168.229.251,25,1,,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.110",,(empty),F
1331918908.950000,C6PJRc43IDBndRXXHi,192.168.202.110,41663,192.168.229.251,25,1,example.com,nessus@nessus.org,Administrator,,,,,,,,,,,503 5.5.2 BDAT command expected,"192.168.229.251,192.168.202.110",,(empty),F
1331920164.180000,Cv3SVq3tIeLoCDwwO9,192.168.202.79,49685,192.168.26.102,25,1,(empty),,,,,,,,,,,,,501 Syntax: EHLO hostname,"192.168.26.102,192.168.202.79",,(empty),F
1331920466.450000,ClXwAk1tyhbW1MxN6b,192.168.202.79,60804,192.168.26.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.202,192.168.202.79",,(empty),F
1331920474.190000,Ci47ID1uLaa8FVx7Zj,192.168.202.79,32790,192.168.26.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.202,192.168.202.79",,(empty),F
1331920474.750000,Cc1QGm4nrGzECsZD8h,192.168.202.79,43510,192.168.21.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.102,192.168.202.79",,(empty),F
1331920478.070000,Cbr95p17grlVVvf8I8,192.168.202.79,37143,192.168.22.202,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.202,192.168.202.79",,(empty),F
1331920484.760000,C3LBMC12FEwynlSksc,192.168.202.79,54760,192.168.26.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.203,192.168.202.79",,(empty),F
1331920484.770000,Ck1VGd1bgIjiaFwCWk,192.168.202.79,37364,192.168.22.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.202,192.168.202.79",,(empty),F
1331920493.440000,CtLAbn33BraH3i1KI4,192.168.202.79,51364,192.168.26.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.102,192.168.202.79",,(empty),F
1331920496.790000,CZztPG3xc8PMQGJena,192.168.202.79,44063,192.168.21.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.102,192.168.202.79",,(empty),F
1331920500.540000,C6ZGoj1geoB74NJ4u9,192.168.202.79,55041,192.168.26.203,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.203,192.168.202.79",,(empty),F
1331920509.150000,Cdiev83kdHjgbd3Ls8,192.168.202.79,51608,192.168.26.102,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.26.102,192.168.202.79",,(empty),F
1331921889.630000,CmNnwr21TMlMYcX9uh,192.168.202.79,38825,192.168.229.251,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.79",,(empty),F
1331921891.720000,CYW9UB20PJcfKnxRj7,192.168.202.79,38934,192.168.229.251,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.79",,(empty),F
1331921909.610000,Cj4VMW3mCRj3rOyT9d,192.168.202.110,48457,192.168.28.102,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.28.102,192.168.202.110",,(empty),F
1331921917.120000,CuCoPN2rrWh3d8FUFg,192.168.202.110,48482,192.168.28.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.28.102,192.168.202.110",,(empty),F
1331921922.490000,C9dbKl24ZTdbcvkb6,192.168.202.110,48592,192.168.28.102,25,1,168.28.102,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.28.102,192.168.202.110",,(empty),F
1331921922.880000,Cvku8k3D4IQJ3gymuk,192.168.202.110,48595,192.168.28.102,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.202.110",,(empty),F
1331921923.210000,CNB8083AoDkDKTjGzj,192.168.202.110,48596,192.168.28.102,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.28.102,192.168.202.110",,(empty),F
1331921923.220000,CsBX6k2RcJKlnkRz84,192.168.202.110,48598,192.168.28.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.28.102,192.168.202.110",,(empty),F
1331921923.600000,CFylor4HkEPi8nLsag,192.168.202.110,48600,192.168.28.102,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.28.102,192.168.202.110",,(empty),F
1331921923.630000,CVZAMRekGYUzRU1n8,192.168.202.110,48604,192.168.28.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.28.102,192.168.202.110",,(empty),F
1331921923.650000,CdVgQ94TwOVqF333Ve,192.168.202.110,48606,192.168.28.102,25,1,example.com,,,,,,,,,,,,,503 5.5.1 Error: authentication not enabled,"192.168.28.102,192.168.202.110",,(empty),F
1331921946.580000,CBZOuDZWqxhlrfZsa,192.168.202.110,49576,192.168.28.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.28.102,192.168.202.110",,(empty),F
1331921946.600000,C7Piy8gbAfJ1T4pi6,192.168.202.110,49579,192.168.28.102,25,1,,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.28.102,192.168.202.110",,(empty),F
1331922463.500000,C7FsOdOwfhG2nJqK5,192.168.202.110,60915,192.168.22.102,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.22.102,192.168.202.110",,(empty),F
1331922468.900000,Crd6NR2smO5KofT09h,192.168.202.110,32790,192.168.22.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.22.102,192.168.202.110",,(empty),F
1331922470.910000,CskFTO3cFeZ6MdNzBd,192.168.202.110,32812,192.168.22.102,25,1,168.22.102,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.22.102,192.168.202.110",,(empty),F
1331922474.030000,CLLxOL3TTMQkuOYkgb,192.168.202.110,32944,192.168.22.102,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.22.102,192.168.202.110",,(empty),F
1331922474.030000,Cx5SVA4HY0AANWNsTd,192.168.202.110,32945,192.168.22.102,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.22.102,192.168.202.110",,(empty),F
1331922474.040000,CAgR5k3WOfPZ4vykuk,192.168.202.110,32946,192.168.22.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.22.102,192.168.202.110",,(empty),F
1331922474.070000,CEeXN74Lkau8lxLE2l,192.168.202.110,32947,192.168.22.102,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.22.102,192.168.202.110",,(empty),F
